SGTime,UnixTime,GSR,Unnamed: 3,Unnamed: 4
393.66326,1631519006,2.907871,,
393.91326,1631519006,2.945009,,
394.66326,1631519007,3.260046,,
394.91326,1631519007,3.020566,,
395.16326,1631519007,3.035934,,
395.41326,1631519007,2.979586,,
395.66326,1631519008,2.979586,,
395.91326,1631519008,2.498067,,
396.16326,1631519008,2.417387,,
396.41326,1631519008,2.508181,,
396.66326,1631519009,2.5466,,
396.91326,1631519009,2.321208,,
397.16326,1631519009,2.713083,,
397.41326,1631519009,2.983298,,
397.66326,1631519010,3.275413,,
397.91326,1631519010,3.037215,,
398.16326,1631519010,3.338165,,
398.41326,1631519010,3.55075,,
398.66326,1631519011,3.548659,,
398.91326,1631519011,4.031459,,
399.16326,1631519011,4.341722,,
399.41326,1631519011,4.209817,,
399.66326,1631519012,4.127856,,
399.91326,1631519012,4.17524,,
400.16326,1631519012,4.144505,,
400.41326,1631519012,4.002354,,
400.66326,1631519013,3.925516,,
400.91326,1631519013,3.878132,,
401.16326,1631519013,3.911428,,
401.41326,1631519013,3.778242,,
401.66326,1631519014,3.379964,,
401.91326,1631519014,3.096595,,
402.16326,1631519014,3.169591,,
402.41326,1631519014,3.081227,,
402.66326,1631519015,2.780277,,
402.91326,1631519015,2.782368,,
403.16326,1631519015,2.672233,,
403.41326,1631519015,2.646621,,
403.66326,1631519016,2.723459,,
403.91326,1631519016,2.64534,,
404.16326,1631519016,2.923238,,
404.41326,1631519016,2.880977,,
404.66326,1631519017,2.577466,,
404.91326,1631519017,2.715775,,3.1156745
405.16326,1631519017,2.778526,,
405.41326,1631519017,2.281639,,
405.66326,1631519018,1.785902,,
405.91326,1631519018,2.582398,,
406.16326,1631519018,3.094713,,
406.41326,1631519018,2.654304,,
406.66326,1631519019,2.96678,,
406.91326,1631519019,3.238275,,
407.16326,1631519019,3.274133,,
407.41326,1631519019,3.089721,,
407.66326,1631519020,3.3292,,
407.91326,1631519020,3.242117,,
408.16326,1631519020,3.176804,,
408.41326,1631519020,3.101247,,
408.66326,1631519021,3.125579,,
408.91326,1631519021,3.162717,,
409.16326,1631519021,3.156314,,
409.41326,1631519021,3.138385,,
409.66326,1631519022,3.175524,,
409.91326,1631519022,3.117895,,
410.16326,1631519022,3.019286,,
410.41326,1631519022,3.002638,,
410.66326,1631519023,3.035934,,
410.91326,1631519023,3.024409,,
411.16326,1631519023,3.046179,,
411.41326,1631519023,3.00648,,
411.66326,1631519024,2.582589,,
411.91326,1631519024,2.732423,,
412.16326,1631519024,2.651743,,
412.41326,1631519024,3.048741,,
412.66326,1631519025,2.956535,,
412.91326,1631519025,3.021847,,
413.16326,1631519025,3.065389,,
413.41326,1631519025,2.861768,,
413.66326,1631519026,2.694004,,
413.91326,1631519026,2.754194,,
414.16326,1631519026,2.984709,,
414.41326,1631519026,2.754194,,
414.66326,1631519027,2.956535,,
414.91326,1631519027,3.073073,,
415.16326,1631519027,3.243397,,
415.41326,1631519027,3.560995,,
415.66326,1631519028,3.279726,,
415.91326,1631519028,3.528169,,
416.16326,1631519028,3.446208,,
416.41326,1631519028,3.368089,,
416.66326,1631519029,3.502556,,
416.91326,1631519029,3.533292,,
417.16326,1631519029,3.357844,,
417.41326,1631519029,3.46926,,
417.66326,1631519030,3.555063,,
417.91326,1631519030,3.58964,,
418.16326,1631519030,3.524327,,
418.41326,1631519030,3.58964,,
418.66326,1631519031,3.597324,,
418.91326,1631519031,3.657513,,
419.16326,1631519031,3.781735,,
419.41326,1631519031,3.455173,,
419.66326,1631519032,3.293813,,
419.91326,1631519032,3.325829,,
420.16326,1631519032,3.316864,,
